Sequence	Count	Probability(%)
5212	86	0.004830
8765	86	0.004830
5121	86	0.004830
5467	85	0.004774
2653	85	0.004774
0487	85	0.004774
3093	85	0.004774
0585	85	0.004774
4501	85	0.004774
8406	85	0.004774
2363	85	0.004774
2263	85	0.004774
4050	85	0.004774
3129	85	0.004774
2351	85	0.004774
4582	85	0.004774
9498	85	0.004774
5657	85	0.004774
4490	85	0.004774
8801	85	0.004774
7701	85	0.004774
0391	85	0.004774
1733	85	0.004774
0384	85	0.004774
7794	85	0.004774
2138	85	0.004774
1554	85	0.004774
8203	85	0.004774
4031	85	0.004774
5478	85	0.004774
5012	85	0.004774
9803	85	0.004774
0493	85	0.004774
4223	85	0.004774
9697	85	0.004774
0485	85	0.004774
2081	85	0.004774
2454	85	0.004774
5391	85	0.004774
3524	85	0.004774
4800	85	0.004774
0293	85	0.004774
2921	85	0.004774
0026	85	0.004774
9101	85	0.004774
9306	85	0.004774
4108	85	0.004774
8803	84	0.004718
8305	84	0.004718
3404	84	0.004718
3255	84	0.004718
9887	84	0.004718
6776	84	0.004718
8288	84	0.004718
4215	84	0.004718
3332	84	0.004718
9103	84	0.004718
8285	84	0.004718
7077	84	0.004718
4682	84	0.004718
3423	84	0.004718
1797	84	0.004718
3792	84	0.004718
5421	84	0.004718
5310	84	0.004718
8819	84	0.004718
7773	84	0.004718
2440	84	0.004718
6978	84	0.004718
6200	84	0.004718
1464	84	0.004718
5469	84	0.004718
4288	84	0.004718
9104	84	0.004718
8306	84	0.004718
8606	84	0.004718
0029	84	0.004718
5592	84	0.004718
5021	84	0.004718
4890	83	0.004661
6264	83	0.004661
9691	83	0.004661
6591	83	0.004661
5232	83	0.004661
2458	83	0.004661
5191	83	0.004661
5533	83	0.004661
8188	83	0.004661
8786	83	0.004661
1462	83	0.004661
3196	83	0.004661
5445	83	0.004661
8893	83	0.004661
5507	83	0.004661
1443	83	0.004661
7321	83	0.004661
4203	83	0.004661
7791	83	0.004661
1774	83	0.004661
2155	83	0.004661
3686	83	0.004661
6589	83	0.004661
5255	83	0.004661
0079	83	0.004661
2777	83	0.004661
7673	83	0.004661
5231	83	0.004661
7793	83	0.004661
2897	83	0.004661
8818	83	0.004661
1570	83	0.004661
0032	83	0.004661
9114	83	0.004661
7984	83	0.004661
2559	83	0.004661
6692	83	0.004661
6678	83	0.004661
3316	83	0.004661
0072	83	0.004661
2451	83	0.004661
5626	83	0.004661
3143	83	0.004661
0387	83	0.004661
2347	83	0.004661
7172	83	0.004661
6971	83	0.004661
3591	82	0.004605
5747	82	0.004605
2173	82	0.004605
8912	82	0.004605
6986	82	0.004605
7105	82	0.004605
6405	82	0.004605
6691	82	0.004605
6556	82	0.004605
3284	82	0.004605
2151	82	0.004605
6705	82	0.004605
2097	82	0.004605
3218	82	0.004605
0385	82	0.004605
6102	82	0.004605
1854	82	0.004605
2560	82	0.004605
9688	82	0.004605
8310	82	0.004605
8711	82	0.004605
2669	82	0.004605
3811	82	0.004605
5513	82	0.004605
2724	82	0.004605
4208	82	0.004605
1864	82	0.004605
5102	82	0.004605
3589	82	0.004605
3224	82	0.004605
7289	82	0.004605
8104	82	0.004605
1575	82	0.004605
3570	82	0.004605
3225	82	0.004605
7897	82	0.004605
2827	82	0.004605
5188	82	0.004605
7588	82	0.004605
2163	82	0.004605
0893	82	0.004605
2257	82	0.004605
4599	82	0.004605
3512	82	0.004605
4511	82	0.004605
6120	82	0.004605
0692	82	0.004605
0182	82	0.004605
5130	82	0.004605
1568	82	0.004605
2999	82	0.004605
2698	82	0.004605
8833	81	0.004549
4486	81	0.004549
3391	81	0.004549
2796	81	0.004549
2445	81	0.004549
5521	81	0.004549
3204	81	0.004549
2797	81	0.004549
8804	81	0.004549
9701	81	0.004549
7100	81	0.004549
2047	81	0.004549
8668	81	0.004549
4505	81	0.004549
4412	81	0.004549
6194	81	0.004549
4491	81	0.004549
6131	81	0.004549
8878	81	0.004549
1643	81	0.004549
9300	81	0.004549
1642	81	0.004549
3492	81	0.004549
4480	81	0.004549
1739	81	0.004549
1853	81	0.004549
4408	81	0.004549
2096	81	0.004549
5264	81	0.004549
2368	81	0.004549
3231	81	0.004549
1860	81	0.004549
2924	81	0.004549
5486	81	0.004549
4452	81	0.004549
1742	81	0.004549
4522	81	0.004549
2453	81	0.004549
7881	81	0.004549
3406	81	0.004549
2770	81	0.004549
1146	81	0.004549
9006	81	0.004549
5682	81	0.004549
9288	80	0.004493
3677	80	0.004493
1558	80	0.004493
0488	80	0.004493
5272	80	0.004493
3604	80	0.004493
2249	80	0.004493
2146	80	0.004493
4104	80	0.004493
8105	80	0.004493
1361	80	0.004493
7883	80	0.004493
6902	80	0.004493
1675	80	0.004493
6990	80	0.004493
0285	80	0.004493
4612	80	0.004493
5462	80	0.004493
5103	80	0.004493
4896	80	0.004493
9200	80	0.004493
3099	80	0.004493
3415	80	0.004493
1163	80	0.004493
9982	80	0.004493
4801	80	0.004493
0357	80	0.004493
4292	80	0.004493
1339	80	0.004493
2636	80	0.004493
3577	80	0.004493
9204	80	0.004493
1162	80	0.004493
5315	80	0.004493
4111	80	0.004493
5632	80	0.004493
8802	80	0.004493
6644	80	0.004493
0694	80	0.004493
1548	80	0.004493
9856	80	0.004493
6369	80	0.004493
5995	80	0.004493
2172	80	0.004493
1750	80	0.004493
5535	80	0.004493
5277	80	0.004493
2555	80	0.004493
8993	80	0.004493
7211	80	0.004493
9195	80	0.004493
8088	80	0.004493
4122	80	0.004493
4106	80	0.004493
3496	80	0.004493
9603	79	0.004437
5236	79	0.004437
6590	79	0.004437
3407	79	0.004437
4492	79	0.004437
1863	79	0.004437
4010	79	0.004437
7485	79	0.004437
6791	79	0.004437
0686	79	0.004437
8591	79	0.004437
8690	79	0.004437
5291	79	0.004437
6116	79	0.004437
8187	79	0.004437
3422	79	0.004437
6292	79	0.004437
5411	79	0.004437
5545	79	0.004437
4788	79	0.004437
2259	79	0.004437
9890	79	0.004437
4469	79	0.004437
9404	79	0.004437
4268	79	0.004437
3545	79	0.004437
0900	79	0.004437
2666	79	0.004437
2271	79	0.004437
3742	79	0.004437
0034	79	0.004437
7880	79	0.004437
3302	79	0.004437
3077	79	0.004437
1834	79	0.004437
0886	79	0.004437
5484	79	0.004437
7877	79	0.004437
5446	79	0.004437
3506	79	0.004437
8001	79	0.004437
2070	79	0.004437
4580	79	0.004437
3477	79	0.004437
6001	79	0.004437
3256	79	0.004437
0193	79	0.004437
3227	79	0.004437
2375	79	0.004437
8205	79	0.004437
9502	79	0.004437
3610	79	0.004437
8482	79	0.004437
2267	79	0.004437
5106	79	0.004437
6020	79	0.004437
8206	79	0.004437
2978	79	0.004437
3292	78	0.004381
5104	78	0.004381
8904	78	0.004381
5466	78	0.004381
9100	78	0.004381
4592	78	0.004381
7475	78	0.004381
4673	78	0.004381
7727	78	0.004381
0044	78	0.004381
5511	78	0.004381
4287	78	0.004381
5510	78	0.004381
6234	78	0.004381
4189	78	0.004381
4423	78	0.004381
8401	78	0.004381
6980	78	0.004381
5515	78	0.004381
4987	78	0.004381
2268	78	0.004381
3386	78	0.004381
2856	78	0.004381
2444	78	0.004381
2824	78	0.004381
2969	78	0.004381
3199	78	0.004381
3278	78	0.004381
4192	78	0.004381
8312	78	0.004381
4107	78	0.004381
9182	78	0.004381
9991	78	0.004381
5611	78	0.004381
3521	78	0.004381
5101	78	0.004381
6655	78	0.004381
4785	78	0.004381
4255	78	0.004381
0031	78	0.004381
7589	78	0.004381
3710	78	0.004381
9505	78	0.004381
4988	78	0.004381
9207	78	0.004381
1670	78	0.004381
7886	78	0.004381
4532	78	0.004381
0892	78	0.004381
4586	78	0.004381
1541	78	0.004381
1672	78	0.004381
2633	78	0.004381
9194	78	0.004381
4243	78	0.004381
5384	78	0.004381
3625	78	0.004381
6482	78	0.004381
7337	78	0.004381
5896	78	0.004381
9506	78	0.004381
5593	78	0.004381
5060	78	0.004381
1370	78	0.004381
3069	78	0.004381
5575	78	0.004381
9700	78	0.004381
3080	78	0.004381
5192	77	0.004324
5285	77	0.004324
1772	77	0.004324
6462	77	0.004324
7790	77	0.004324
7426	77	0.004324
4900	77	0.004324
6336	77	0.004324
7488	77	0.004324
6983	77	0.004324
9877	77	0.004324
9107	77	0.004324
1848	77	0.004324
5309	77	0.004324
6923	77	0.004324
2075	77	0.004324
5520	77	0.004324
4414	77	0.004324
8286	77	0.004324
3254	77	0.004324
5787	77	0.004324
3291	77	0.004324
4664	77	0.004324
3086	77	0.004324
5492	77	0.004324
7869	77	0.004324
3452	77	0.004324
4911	77	0.004324
1662	77	0.004324
2260	77	0.004324
3293	77	0.004324
0392	77	0.004324
7477	77	0.004324
5223	77	0.004324
5433	77	0.004324
5256	77	0.004324
3282	77	0.004324
6321	77	0.004324
9511	77	0.004324
3033	77	0.004324
9295	77	0.004324
2360	77	0.004324
8082	77	0.004324
8002	77	0.004324
3405	77	0.004324
1448	77	0.004324
8472	77	0.004324
1543	77	0.004324
2162	77	0.004324
2336	77	0.004324
3320	77	0.004324
5584	77	0.004324
8264	77	0.004324
3654	77	0.004324
2575	77	0.004324
8884	77	0.004324
9513	77	0.004324
2065	77	0.004324
3183	77	0.004324
3343	77	0.004324
0300	77	0.004324
3696	77	0.004324
3181	77	0.004324
3615	77	0.004324
0795	77	0.004324
7391	77	0.004324
0055	77	0.004324
0078	77	0.004324
2874	77	0.004324
3467	77	0.004324
2774	77	0.004324
7678	77	0.004324
2463	77	0.004324
5406	77	0.004324
2997	77	0.004324
2270	76	0.004268
5869	76	0.004268
3704	76	0.004268
7705	76	0.004268
4985	76	0.004268
8985	76	0.004268
5901	76	0.004268
4487	76	0.004268
4233	76	0.004268
7884	76	0.004268
7718	76	0.004268
3687	76	0.004268
7989	76	0.004268
8321	76	0.004268
5402	76	0.004268
5677	76	0.004268
5621	76	0.004268
3219	76	0.004268
5220	76	0.004268
4402	76	0.004268
5393	76	0.004268
4116	76	0.004268
3203	76	0.004268
9202	76	0.004268
4515	76	0.004268
2876	76	0.004268
6676	76	0.004268
2335	76	0.004268
9702	76	0.004268
4229	76	0.004268
4701	76	0.004268
5892	76	0.004268
2568	76	0.004268
7179	76	0.004268
9303	76	0.004268
7104	76	0.004268
5388	76	0.004268
4188	76	0.004268
9206	76	0.004268
0594	76	0.004268
7300	76	0.004268
5502	76	0.004268
8494	76	0.004268
5693	76	0.004268
3688	76	0.004268
5692	76	0.004268
2597	76	0.004268
8103	76	0.004268
6587	76	0.004268
5792	76	0.004268
2348	76	0.004268
2977	76	0.004268
4687	76	0.004268
5847	76	0.004268
5110	76	0.004268
5582	76	0.004268
2998	76	0.004268
0981	76	0.004268
9108	76	0.004268
5671	76	0.004268
5576	76	0.004268
3094	76	0.004268
0199	76	0.004268
3507	76	0.004268
3571	76	0.004268
3777	76	0.004268
7798	76	0.004268
0495	76	0.004268
9215	75	0.004212
6420	75	0.004212
2371	75	0.004212
0383	75	0.004212
9216	75	0.004212
7290	75	0.004212
6266	75	0.004212
5786	75	0.004212
0489	75	0.004212
8817	75	0.004212
8887	75	0.004212
1635	75	0.004212
4209	75	0.004212
9400	75	0.004212
4550	75	0.004212
5189	75	0.004212
2574	75	0.004212
6393	75	0.004212
3890	75	0.004212
9301	75	0.004212
6103	75	0.004212
3266	75	0.004212
2975	75	0.004212
8500	75	0.004212
5284	75	0.004212
8825	75	0.004212
0770	75	0.004212
3454	75	0.004212
6226	75	0.004212
8192	75	0.004212
0993	75	0.004212
5051	75	0.004212
0290	75	0.004212
9229	75	0.004212
3319	75	0.004212
4216	75	0.004212
9092	75	0.004212
4245	75	0.004212
9117	75	0.004212
4199	75	0.004212
9875	75	0.004212
4187	75	0.004212
5676	75	0.004212
9955	75	0.004212
0351	75	0.004212
1697	75	0.004212
3017	75	0.004212
4305	75	0.004212
3445	75	0.004212
6981	75	0.004212
2675	75	0.004212
8814	75	0.004212
2239	75	0.004212
5685	75	0.004212
6070	75	0.004212
5551	75	0.004212
7593	75	0.004212
1559	75	0.004212
4316	75	0.004212
6106	75	0.004212
9969	75	0.004212
3481	74	0.004156
3787	74	0.004156
5282	74	0.004156
7900	74	0.004156
7577	74	0.004156
0169	74	0.004156
8769	74	0.004156
8897	74	0.004156
6283	74	0.004156
5890	74	0.004156
3082	74	0.004156
3150	74	0.004156
3164	74	0.004156
9985	74	0.004156
8090	74	0.004156
6306	74	0.004156
3984	74	0.004156
8290	74	0.004156
4191	74	0.004156
3178	74	0.004156
5390	74	0.004156
6903	74	0.004156
6233	74	0.004156
5118	74	0.004156
9203	74	0.004156
7686	74	0.004156
6454	74	0.004156
8083	74	0.004156
9399	74	0.004156
0784	74	0.004156
4593	74	0.004156
4344	74	0.004156
5262	74	0.004156
7771	74	0.004156
4889	74	0.004156
3488	74	0.004156
9705	74	0.004156
6006	74	0.004156
3277	74	0.004156
2153	74	0.004156
5125	74	0.004156
2157	74	0.004156
3821	74	0.004156
5324	74	0.004156
0200	74	0.004156
3395	74	0.004156
1552	74	0.004156
6463	74	0.004156
6698	74	0.004156
4253	73	0.004100
2167	73	0.004100
5524	73	0.004100
6284	73	0.004100
5654	73	0.004100
7489	73	0.004100
9501	73	0.004100
0287	73	0.004100
5389	73	0.004100
3502	73	0.004100
7717	73	0.004100
3054	73	0.004100
7712	73	0.004100
5120	73	0.004100
3491	73	0.004100
7106	73	0.004100
3380	73	0.004100
3198	73	0.004100
7990	73	0.004100
0030	73	0.004100
7755	73	0.004100
6800	73	0.004100
2098	73	0.004100
9995	73	0.004100
7191	73	0.004100
3888	73	0.004100
9788	73	0.004100
7189	73	0.004100
5155	73	0.004100
0897	73	0.004100
7689	73	0.004100
6974	73	0.004100
7292	73	0.004100
8684	73	0.004100
4390	73	0.004100
3029	73	0.004100
4525	73	0.004100
1546	73	0.004100
2460	73	0.004100
4691	73	0.004100
4410	73	0.004100
3886	73	0.004100
0491	73	0.004100
8489	73	0.004100
9087	73	0.004100
8386	73	0.004100
6494	73	0.004100
0592	73	0.004100
3287	73	0.004100
4994	73	0.004100
5355	73	0.004100
2078	73	0.004100
2855	73	0.004100
5696	73	0.004100
2833	73	0.004100
9003	73	0.004100
6289	73	0.004100
0492	73	0.004100
3251	73	0.004100
3060	73	0.004100
5208	73	0.004100
3712	73	0.004100
1657	73	0.004100
0280	73	0.004100
5250	73	0.004100
3295	73	0.004100
2733	73	0.004100
9507	73	0.004100
6566	73	0.004100
5906	73	0.004100
6199	72	0.004044
6487	72	0.004044
3486	72	0.004044
4510	72	0.004044
1576	72	0.004044
7200	72	0.004044
4685	72	0.004044
4289	72	0.004044
4690	72	0.004044
5152	72	0.004044
1338	72	0.004044
1837	72	0.004044
6187	72	0.004044
4282	72	0.004044
9225	72	0.004044
1835	72	0.004044
5532	72	0.004044
7390	72	0.004044
2152	72	0.004044
6910	72	0.004044
0783	72	0.004044
0480	72	0.004044
4989	72	0.004044
2054	72	0.004044
6588	72	0.004044
2676	72	0.004044
2373	72	0.004044
5015	72	0.004044
0073	72	0.004044
8400	72	0.004044
6105	72	0.004044
6465	72	0.004044
7405	72	0.004044
1676	72	0.004044
4236	72	0.004044
3695	72	0.004044
5526	72	0.004044
3134	72	0.004044
5878	72	0.004044
6299	72	0.004044
3652	72	0.004044
7226	72	0.004044
1840	72	0.004044
3656	72	0.004044
8721	72	0.004044
7606	72	0.004044
6912	72	0.004044
5364	72	0.004044
0995	72	0.004044
3515	72	0.004044
8281	72	0.004044
2832	72	0.004044
4323	72	0.004044
4357	72	0.004044
3268	72	0.004044
9497	72	0.004044
6670	72	0.004044
4281	72	0.004044
5667	72	0.004044
3034	72	0.004044
2079	72	0.004044
3353	72	0.004044
2159	72	0.004044
4774	72	0.004044
7288	71	0.003987
5286	71	0.003987
8204	71	0.003987
1539	71	0.003987
4507	71	0.003987
8287	71	0.003987
5105	71	0.003987
3050	71	0.003987
6687	71	0.003987
9602	71	0.003987
6982	71	0.003987
8828	71	0.003987
7690	71	0.003987
5234	71	0.003987
2161	71	0.003987
5987	71	0.003987
8185	71	0.003987
9224	71	0.003987
0183	71	0.003987
9407	71	0.003987
2864	71	0.003987
3032	71	0.003987
9189	71	0.003987
4415	71	0.003987
3989	71	0.003987
3745	71	0.003987
5580	71	0.003987
5431	71	0.003987
0678	71	0.003987
5783	71	0.003987
9912	71	0.003987
6188	71	0.003987
9312	71	0.003987
3235	71	0.003987
8387	71	0.003987
6682	71	0.003987
5122	71	0.003987
5287	71	0.003987
7829	71	0.003987
2798	71	0.003987
5401	71	0.003987
3495	71	0.003987
0583	71	0.003987
6684	71	0.003987
9706	71	0.003987
0894	71	0.003987
5893	71	0.003987
9907	71	0.003987
6696	71	0.003987
8917	71	0.003987
0978	71	0.003987
3536	71	0.003987
9116	71	0.003987
4298	70	0.003931
0550	70	0.003931
3378	70	0.003931
3085	70	0.003931
3457	70	0.003931
3299	70	0.003931
4678	70	0.003931
7703	70	0.003931
3815	70	0.003931
8785	70	0.003931
3504	70	0.003931
6521	70	0.003931
0490	70	0.003931
7482	70	0.003931
4413	70	0.003931
2674	70	0.003931
1743	70	0.003931
4225	70	0.003931
8600	70	0.003931
5578	70	0.003931
3990	70	0.003931
5322	70	0.003931
2462	70	0.003931
0281	70	0.003931
7274	70	0.003931
7476	70	0.003931
7188	70	0.003931
3078	70	0.003931
7512	70	0.003931
3746	70	0.003931
4495	70	0.003931
7205	70	0.003931
4299	70	0.003931
3592	70	0.003931
4244	70	0.003931
9599	70	0.003931
5986	70	0.003931
3812	70	0.003931
7721	70	0.003931
0393	70	0.003931
4454	70	0.003931
4156	70	0.003931
8084	70	0.003931
3252	70	0.003931
5784	70	0.003931
4286	70	0.003931
4712	70	0.003931
5392	70	0.003931
3458	70	0.003931
7193	70	0.003931
2748	70	0.003931
2927	70	0.003931
5701	70	0.003931
2745	70	0.003931
7177	70	0.003931
8023	70	0.003931
7377	70	0.003931
5800	70	0.003931
4693	70	0.003931
4496	70	0.003931
1861	70	0.003931
4583	70	0.003931
4892	70	0.003931
1667	70	0.003931
0695	70	0.003931
0197	70	0.003931
1765	70	0.003931
6633	70	0.003931
5591	69	0.003875
3788	69	0.003875
9455	69	0.003875
6889	69	0.003875
2471	69	0.003875
5768	69	0.003875
1566	69	0.003875
1866	69	0.003875
5190	69	0.003875
9299	69	0.003875
4218	69	0.003875
5790	69	0.003875
6205	69	0.003875
1547	69	0.003875
9493	69	0.003875
3258	69	0.003875
9113	69	0.003875
6265	69	0.003875
5785	69	0.003875
0887	69	0.003875
9703	69	0.003875
5463	69	0.003875
3493	69	0.003875
3666	69	0.003875
8020	69	0.003875
5887	69	0.003875
4478	69	0.003875
9005	69	0.003875
3611	69	0.003875
6805	69	0.003875
0899	69	0.003875
6785	69	0.003875
5230	69	0.003875
9504	69	0.003875
9307	69	0.003875
3595	69	0.003875
4103	69	0.003875
4310	69	0.003875
8821	69	0.003875
0896	69	0.003875
2844	69	0.003875
4596	69	0.003875
1553	69	0.003875
5333	69	0.003875
4142	69	0.003875
4117	69	0.003875
5487	69	0.003875
2558	69	0.003875
4118	69	0.003875
9601	69	0.003875
8820	69	0.003875
6390	69	0.003875
4462	69	0.003875
7605	69	0.003875
5424	69	0.003875
2665	69	0.003875
7112	69	0.003875
8824	69	0.003875
3707	69	0.003875
2572	69	0.003875
2776	69	0.003875
3174	69	0.003875
2645	69	0.003875
5301	69	0.003875
3222	69	0.003875
3621	69	0.003875
3384	69	0.003875
7992	69	0.003875
3575	69	0.003875
7901	69	0.003875
1754	69	0.003875
2672	69	0.003875
8307	69	0.003875
1651	69	0.003875
4252	69	0.003875
3546	69	0.003875
1745	69	0.003875
1756	69	0.003875
6575	69	0.003875
1561	69	0.003875
5797	69	0.003875
0595	69	0.003875
3927	68	0.003819
9591	68	0.003819
8272	68	0.003819
5669	68	0.003819
6225	68	0.003819
3988	68	0.003819
6012	68	0.003819
1846	68	0.003819
5605	68	0.003819
4306	68	0.003819
5207	68	0.003819
4313	68	0.003819
6893	68	0.003819
4301	68	0.003819
4564	68	0.003819
8055	68	0.003819
4502	68	0.003819
4503	68	0.003819
8189	68	0.003819
2362	68	0.003819
7250	68	0.003819
8266	68	0.003819
2554	68	0.003819
1353	68	0.003819
7424	68	0.003819
1755	68	0.003819
1659	68	0.003819
7812	68	0.003819
4748	68	0.003819
8885	68	0.003819
7201	68	0.003819
5305	68	0.003819
7806	68	0.003819
9391	68	0.003819
3208	68	0.003819
5145	68	0.003819
8291	68	0.003819
3414	68	0.003819
3679	68	0.003819
4450	68	0.003819
6585	68	0.003819
5594	68	0.003819
7682	68	0.003819
1645	68	0.003819
3904	68	0.003819
9220	68	0.003819
5888	68	0.003819
1655	68	0.003819
4464	68	0.003819
6599	68	0.003819
7383	68	0.003819
0682	68	0.003819
0269	68	0.003819
2037	68	0.003819
6193	68	0.003819
3413	68	0.003819
9199	68	0.003819
8595	68	0.003819
4217	68	0.003819
9115	68	0.003819
5117	68	0.003819
3901	68	0.003819
1557	68	0.003819
8110	68	0.003819
3197	68	0.003819
0496	68	0.003819
4140	67	0.003763
6221	67	0.003763
3697	67	0.003763
4185	67	0.003763
5711	67	0.003763
5562	67	0.003763
6191	67	0.003763
6204	67	0.003763
6466	67	0.003763
2634	67	0.003763
4230	67	0.003763
4663	67	0.003763
8558	67	0.003763
2056	67	0.003763
6769	67	0.003763
6505	67	0.003763
0785	67	0.003763
8590	67	0.003763
3484	67	0.003763
4403	67	0.003763
6455	67	0.003763
6888	67	0.003763
6504	67	0.003763
7801	67	0.003763
6892	67	0.003763
4887	67	0.003763
0983	67	0.003763
0087	67	0.003763
4888	67	0.003763
4790	67	0.003763
4577	67	0.003763
4570	67	0.003763
6604	67	0.003763
6890	67	0.003763
3381	67	0.003763
5493	67	0.003763
8866	67	0.003763
8956	67	0.003763
5040	67	0.003763
7680	67	0.003763
4151	67	0.003763
6810	67	0.003763
1668	67	0.003763
9401	67	0.003763
3525	67	0.003763
3566	67	0.003763
9516	67	0.003763
5374	67	0.003763
1735	67	0.003763
2773	67	0.003763
9993	67	0.003763
0159	67	0.003763
9492	67	0.003763
7685	67	0.003763
7826	67	0.003763
5863	67	0.003763
4508	67	0.003763
5198	67	0.003763
7282	67	0.003763
5564	67	0.003763
5124	67	0.003763
4250	67	0.003763
4445	67	0.003763
5241	67	0.003763
4327	67	0.003763
2064	67	0.003763
9388	67	0.003763
3382	67	0.003763
8894	67	0.003763
2149	67	0.003763
9406	67	0.003763
0074	67	0.003763
3790	67	0.003763
1737	67	0.003763
4680	67	0.003763
5302	67	0.003763
6975	67	0.003763
6694	67	0.003763
9685	67	0.003763
5426	67	0.003763
8314	67	0.003763
6668	67	0.003763
6210	67	0.003763
9611	67	0.003763
3416	67	0.003763
2654	67	0.003763
6523	66	0.003707
3318	66	0.003707
7484	66	0.003707
3328	66	0.003707
5205	66	0.003707
4625	66	0.003707
5556	66	0.003707
0696	66	0.003707
5182	66	0.003707
3678	66	0.003707
3824	66	0.003707
0295	66	0.003707
8491	66	0.003707
3045	66	0.003707
6182	66	0.003707
4481	66	0.003707
5023	66	0.003707
6163	66	0.003707
3601	66	0.003707
7490	66	0.003707
6492	66	0.003707
4227	66	0.003707
5394	66	0.003707
8876	66	0.003707
6787	66	0.003707
6183	66	0.003707
4304	66	0.003707
3360	66	0.003707
8593	66	0.003707
4334	66	0.003707
4128	66	0.003707
1753	66	0.003707
5306	66	0.003707
2650	66	0.003707
4769	66	0.003707
6263	66	0.003707
3902	66	0.003707
7865	66	0.003707
5153	66	0.003707
4533	66	0.003707
0481	66	0.003707
6593	66	0.003707
7595	66	0.003707
4144	66	0.003707
2459	66	0.003707
3586	66	0.003707
5113	66	0.003707
9118	66	0.003707
3228	66	0.003707
7810	66	0.003707
3436	66	0.003707
3479	66	0.003707
4808	66	0.003707
5186	66	0.003707
3096	66	0.003707
4806	66	0.003707
8723	66	0.003707
4602	66	0.003707
5905	66	0.003707
1549	66	0.003707
2261	66	0.003707
5475	66	0.003707
0035	66	0.003707
5294	66	0.003707
4799	66	0.003707
9398	66	0.003707
3175	66	0.003707
8986	66	0.003707
3986	66	0.003707
7744	66	0.003707
5862	66	0.003707
5755	66	0.003707
0296	66	0.003707
9994	66	0.003707
9992	66	0.003707
9606	66	0.003707
5635	65	0.003650
4707	65	0.003650
5459	65	0.003650
4197	65	0.003650
4547	65	0.003650
4184	65	0.003650
5458	65	0.003650
4706	65	0.003650
6245	65	0.003650
6512	65	0.003650
3624	65	0.003650
6984	65	0.003650
0498	65	0.003650
6654	65	0.003650
6104	65	0.003650
5479	65	0.003650
6968	65	0.003650
7293	65	0.003650
6490	65	0.003650
9221	65	0.003650
1538	65	0.003650
4513	65	0.003650
7311	65	0.003650
7080	65	0.003650
6908	65	0.003650
4696	65	0.003650
8592	65	0.003650
5810	65	0.003650
2447	65	0.003650
1768	65	0.003650
5598	65	0.003650
4291	65	0.003650
2043	65	0.003650
9786	65	0.003650
6294	65	0.003650
8512	65	0.003650
8106	65	0.003650
5874	65	0.003650
5405	65	0.003650
2673	65	0.003650
3373	65	0.003650
7579	65	0.003650
8601	65	0.003650
4280	65	0.003650
6994	65	0.003650
6411	65	0.003650
3285	65	0.003650
5281	65	0.003650
1752	65	0.003650
4133	65	0.003650
0186	65	0.003650
8829	65	0.003650
8921	65	0.003650
4984	65	0.003650
4474	65	0.003650
2933	65	0.003650
5229	65	0.003650
3401	65	0.003650
6792	65	0.003650
4297	65	0.003650
6598	65	0.003650
0482	65	0.003650
5563	65	0.003650
5369	65	0.003650
3713	65	0.003650
7873	65	0.003650
8896	65	0.003650
9753	65	0.003650
2573	65	0.003650
0179	65	0.003650
5624	65	0.003650
5666	65	0.003650
0699	65	0.003650
7194	65	0.003650
9731	65	0.003650
3784	65	0.003650
2557	65	0.003650
0895	65	0.003650
6410	65	0.003650
6973	65	0.003650
2646	65	0.003650
3396	65	0.003650
8815	65	0.003650
7888	65	0.003650
5793	65	0.003650
8883	65	0.003650
6966	65	0.003650
3286	65	0.003650
5694	65	0.003650
8250	65	0.003650
6781	65	0.003650
1644	65	0.003650
5496	65	0.003650
5383	65	0.003650
5482	65	0.003650
4610	65	0.003650
9922	65	0.003650
4295	65	0.003650
4893	64	0.003594
3247	64	0.003594
9872	64	0.003594
5436	64	0.003594
0799	64	0.003594
9491	64	0.003594
5886	64	0.003594
6456	64	0.003594
3051	64	0.003594
5531	64	0.003594
5704	64	0.003594
8085	64	0.003594
1660	64	0.003594
6452	64	0.003594
5898	64	0.003594
4285	64	0.003594
0500	64	0.003594
5239	64	0.003594
4012	64	0.003594
0469	64	0.003594
1779	64	0.003594
5248	64	0.003594
4990	64	0.003594
5802	64	0.003594
9402	64	0.003594
9880	64	0.003594
6918	64	0.003594
7856	64	0.003594
2446	64	0.003594
5662	64	0.003594
3331	64	0.003594
9588	64	0.003594
7774	64	0.003594
5032	64	0.003594
8180	64	0.003594
5292	64	0.003594
3802	64	0.003594
5629	64	0.003594
2875	64	0.003594
5274	64	0.003594
5695	64	0.003594
8289	64	0.003594
3151	64	0.003594
3327	64	0.003594
7102	64	0.003594
3160	64	0.003594
4649	64	0.003594
3241	64	0.003594
4504	64	0.003594
5267	64	0.003594
5279	64	0.003594
3450	64	0.003594
2055	64	0.003594
7111	64	0.003594
6703	64	0.003594
4786	64	0.003594
9812	64	0.003594
0283	64	0.003594
7206	64	0.003594
7224	64	0.003594
5643	64	0.003594
3162	64	0.003594
2928	64	0.003594
4219	64	0.003594
7113	64	0.003594
4901	64	0.003594
4350	64	0.003594
8569	64	0.003594
8525	64	0.003594
4345	64	0.003594
5529	64	0.003594
3585	64	0.003594
8300	64	0.003594
8781	64	0.003594
6195	64	0.003594
6612	64	0.003594
4815	64	0.003594
7983	64	0.003594
8909	64	0.003594
